,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Average Retail Prices Of Selected Consumer Items, Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/07/2023,Check next release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,Premium Thai Rice (Per 5 Kilogram) (Dollar),Ordinary White Bread (Per 400 Gram) (Dollar),Vitamin Enriched Bread (Per 400 Gram) (Dollar),Wholemeal Bread (Per 400 Gram) (Dollar),Instant Noodles (Per 5 Packets) (Dollar),"Lean Pork, Chilled (Per Kilogram) (Dollar)","Streaky Pork, Chilled (Per Kilogram) (Dollar)","Pork Rib Bones, Chilled (Per Kilogram) (Dollar)","Beef, Chilled (Per Kilogram) (Dollar)","Mutton, Chilled (Per Kilogram) (Dollar)","Whole Chicken, Chilled (Per Kilogram) (Dollar)","Chicken Wing, Chilled (Per Kilogram) (Dollar)","Duck, Chilled (Per Kilogram) (Dollar)","Lean Pork, Frozen (Per 500 Gram) (Dollar)","Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)","Beef Cube, Frozen (Per 500 Gram) (Dollar)","Whole Chicken, Frozen (Each) (Dollar)","Chicken Wing, Frozen (Per 2 Kilogram) (Dollar)",Cod Fish (Per Kilogram) (Dollar),Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),Flowery Grouper (Per Kilogram) (Dollar),White Pomfret (Per Kilogram) (Dollar),Salmon (Per Kilogram) (Dollar),Sea Bass (Per Kilogram) (Dollar),Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),Golden Snapper (Per Kilogram) (Dollar),Spanish Mackerel (Batang) (Per Kilogram) (Dollar),Threadfin (Kurau) (Per Kilogram) (Dollar),Small Prawns (Per Kilogram) (Dollar),Medium Prawns (Per Kilogram) (Dollar),Squids (Per Kilogram) (Dollar),Fresh Milk (Per Litre) (Dollar),Infant Milk Powder (Per 100 Gram) (Dollar),Cheese (Per 12 Slices) (Dollar),Hen Eggs (Per 10) (Dollar),Cooking Oil (Per 2 Kilogram) (Dollar),Bananas (Per Kilogram) (Dollar),Papaya (Per Kilogram) (Dollar),Watermelon (Per Kilogram) (Dollar),Grapes (Per Kilogram) (Dollar),Orange (Each) (Dollar),Apple (Each) (Dollar),Pear (Each) (Dollar),Broccoli (Per Kilogram) (Dollar),Cabbage (Per Kilogram) (Dollar),Chinese Kale (Kailan) (Per Kilogram) (Dollar),Small Mustard (Chye Sim) (Per Kilogram) (Dollar),Spinach (Bayam) (Per Kilogram) (Dollar),Tomatoes (Per Kilogram) (Dollar),Potatoes (Per Kilogram) (Dollar),Carrots (Per Kilogram) (Dollar),White Sugar (Per 2 Kilogram) (Dollar),Instant Coffee (Per 200 Gram) (Dollar),Aerated Soft Drinks (Per 4 Cans) (Dollar),Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),Beer (Per 6 Cans) (Dollar),Cigarettes (Per Pack) (Dollar),Coffee/Tea Without Milk (Per Cup) (Dollar),Coffee/Tea With Milk (Per Cup) (Dollar),Fishball Noodle (Per Bowl) (Dollar),Mee Rebus (Per Bowl) (Dollar),Chicken Rice (Per Plate) (Dollar),Chicken Nasi Briyani (Per Plate) (Dollar),Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),Roti Prata (Plain) (Per Piece) (Dollar),Fried Carrot Cake (Per Plate) (Dollar),Ice Kachang (Per Bowl) (Dollar),Diesel (Per Litre) (Dollar),"Petrol, 98 Octane (Per Litre) (Dollar)","Petrol, 95 Octane (Per Litre) (Dollar)","Petrol, 92 Octane (Per Litre) (Dollar)",Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar)
  2023 Jun,13.7,2,2,2.4,2.8,16.7,20.4,21,30.4,27,8.8,11.3,8.9,5.2,6,6.4,4.2,9.6,64.8,9.6,15.8,29.6,38.2,11.2,12.1,18.9,13.1,57.2,12.9,16.1,19.6,3.6,6.6,6.5,3.4,6.9,2.8,2.6,1.9,13.2,0.7,0.5,1.2,5.9,2.9,5.2,4.6,4.3,2.6,2.6,2,3.4,10.4,3.3,3.1,16.8,15.1,1.2,1.3,4.2,3.8,4.2,6.5,3.8,1.3,3.5,2.5,2.1,3.1,2.6,2.5,2.7
  2023 May,13.8,2,2,2.4,2.8,17.3,19.9,19.6,30.4,27,8.8,11.1,9,5.2,6.1,6.4,4.2,9.6,64.6,9.5,16.3,28.9,39.7,12,11.7,18.7,13.4,59.7,13.4,16.1,20.1,3.6,6.6,6.5,3.4,6.9,2.8,2.5,1.9,12.9,0.7,0.5,1.3,6,2.9,5.3,4.5,4.3,2.5,2.7,2.1,3.4,10.4,3.3,3.1,17,15.1,1.2,1.3,4.1,3.8,4.2,6.5,3.8,1.3,3.5,2.4,2.1,3.1,2.6,2.5,2.7
  2023 Apr,13.4,2,2.1,2.5,2.8,16.6,19.3,19.8,30.4,27.8,9.1,11.3,9,5.1,6.2,6.4,4.2,9.6,64.9,9.3,16.1,29.7,38.9,11.6,11.8,19.1,13.2,57.1,13.8,16.2,20.3,3.6,6.7,6.3,3.4,6.8,2.7,2.5,2,13.6,0.7,0.5,1.3,6.1,2.9,5.1,4.5,4.3,2.8,2.7,2.1,3.4,10.6,3.2,2.9,16.7,15.1,1.2,1.3,4.1,3.8,4.1,6.5,3.8,1.3,3.5,2.4,2.2,3.1,2.6,2.6,2.7
  2023 Mar,13.2,2,2,2.4,2.7,16.6,19.2,19.8,27.6,27.4,9.4,11.4,9,5.1,6,6.4,4,9.7,64.9,9.6,16.5,28.7,39.8,12.2,11.8,20.7,13.6,57,13.7,17,21.1,3.5,6.6,6.3,3.4,6.8,2.7,2.5,2.1,14.2,0.7,0.5,1.3,6.3,2.9,5.3,4.6,4.6,3.3,2.7,2.1,3.4,10.5,3.2,3.1,16.3,15.1,1.2,1.3,4.1,3.8,4.1,6.5,3.8,1.3,3.5,2.4,2.3,3.1,2.6,2.5,2.7
  2023 Feb,12.8,2,2,2.4,2.7,16.5,19.1,20.5,28.5,27,8.9,11.7,9.1,5.1,5.9,6.4,3.8,9.3,65.9,9.5,15.9,29.4,36.6,12.1,12.1,21.4,13.4,59.5,14.2,16.8,20.3,3.4,6.6,6.1,3.4,6.7,2.6,2.5,1.9,13.7,0.7,0.5,1.3,6.5,2.9,5.5,4.8,4.8,3.4,2.7,2.1,3.4,10.5,3.2,3.1,16.3,14.3,1.2,1.3,4,3.7,4.1,6.5,3.8,1.3,3.5,2.4,2.4,3.1,2.6,2.5,2.7
  2023 Jan,13,1.9,1.9,2.3,2.7,16.7,19.2,20.7,28.9,28.5,8.9,11.6,9.1,5.1,6.2,6.5,4.2,9.3,66.3,9.6,16.6,34.1,36.5,11.8,11.9,22.4,13.5,66.3,13.6,17.4,21.9,3.4,6.6,5.8,3.4,6.7,2.6,2.4,1.8,14.3,0.7,0.5,1.3,7,2.9,5.5,4.5,4.4,3.1,2.7,2,3.3,10.4,3.2,2.9,16.1,13.6,1.2,1.3,4,3.7,4.1,6.5,3.7,1.3,3.5,2.4,2.4,3.1,2.6,2.5,2.7
  2022 Dec,13.2,1.9,2,2.3,2.7,16.5,19,20.5,29.2,26.6,8.9,11.7,8.9,5.1,6.1,6.4,5,9.5,65.3,9.4,15.2,31.8,34.1,11.9,11.5,20.3,13.2,56.2,13.4,18.2,20.2,3.5,6.5,5.7,3.3,6.8,2.6,2.4,1.8,16,0.7,0.5,1.2,6.9,2.9,5.4,4.6,4.5,2.7,2.7,2.1,3.3,10.6,3.2,3.1,16.2,13.3,1.2,1.3,3.9,3.7,4.1,6.4,3.7,1.3,3.4,2.3,2.4,3.1,2.5,2.5,2.7
  2022 Nov,13.3,1.9,1.9,2.3,2.7,16.3,19,20,28.8,26.4,8.9,11.7,8.8,5.2,6.1,6.4,5.8,9.5,65.1,9.5,15.4,31.3,33.2,11.5,11.4,20,13.2,55.1,12.8,16.6,19.6,3.4,6.4,5.7,3.3,7,2.6,2.4,1.6,15.7,0.7,0.5,1.2,6.6,2.9,5.3,4.4,4.3,2.5,2.7,2.1,3.3,10.5,3.2,3,16.1,13.3,1.2,1.3,3.9,3.6,4.1,6.4,3.7,1.2,3.4,2.3,2.5,3.1,2.6,2.6,2.7
  2022 Oct,12.9,1.9,1.7,2.3,2.7,16.5,19.1,20.1,28.5,25.9,9.4,11.2,8.3,4.9,6.1,6.4,5.2,9.2,65.1,9.4,15.3,30.4,33,12,12,19.7,12.8,58,13,16.5,18.8,3.4,6.3,5.9,3.1,7.6,2.6,2.4,1.7,15.9,0.7,0.5,1.2,6.6,2.9,5.3,4.4,4.3,2.6,2.7,2.1,3.2,10.6,3.2,3,16.2,13.3,1.2,1.3,3.9,3.6,4,6.4,3.7,1.2,3.4,2.3,2.5,3.1,2.6,2.6,2.7
  2022 Sep,13,1.9,1.7,2.2,2.7,16.6,19.1,20.4,28.4,26.6,8.6,11.4,8.5,4.9,6.1,6.4,5.2,9.2,64.9,9.6,15.3,30.5,33.7,13.4,12.2,20.8,12.7,54.8,14.4,19.4,20.5,3.5,6.3,6,3.1,7.4,2.6,2.4,1.7,17.6,0.7,0.5,1.3,6.7,3,5.4,4.5,4.4,2.7,2.7,2,3.1,10.6,3.2,3,16,13.3,1.2,1.3,3.8,3.6,4,6.4,3.7,1.2,3.4,2.3,2.5,3.2,2.7,2.6,2.8
